Artist,danceability,energy,speechiness,acousticness,instrumentalness,loudness,valence,tempo,duration_ms
DaBaby,0.11164482861462977,0.03766501149785684,0.19362717986640468,-0.14841089754141376,-0.007177417413100394,0.4690201570383046,0.0884252758221159,9.396799432358875,-55269.65812204973
Billie Eilish,-0.20795517138537023,-0.36873498850214326,-0.020362820133595347,0.5675811024585863,0.15871996858689957,-6.748979842961694,-0.2799747241778841,-6.469200567641124,16068.441877950274
Post Malone,-0.03435517138537025,0.006165011497856865,-0.04158282013359535,-0.041982897541413766,-0.006926813413100394,0.9551201570383041,-0.033074724177884096,-5.182300567641093,-12550.358122049714
SZA,-0.10115517138537022,-0.06023498850214326,-0.03822282013359535,0.08591110245858624,0.0493688085868996,-1.4004798429616967,-0.0830747241778842,-10.042800567641109,-10190.95812204972
Drake,0.01594482861462987,-0.12773498850214327,0.05250717986640466,-0.1792921975414138,0.0032227845868996064,-1.9113798429616953,-0.21617472417788408,13.045699432358873,37175.34187795027
Lil Baby,0.14314482861462974,-0.11093498850214323,0.18847717986640464,-0.13654489754141377,-0.007177344413100394,-1.1532798429616964,-0.14477472417788406,-1.3230005676411025,-34076.65812204973
Taylor Swift,-0.06645517138537027,-0.02503498850214325,-0.04585282013359533,-0.03743589754141377,-0.006872717413100394,-0.8099798429616953,-0.1443247241778841,-5.258300567641115,30636.841877950268
Luke Combs,-0.14395517138537017,0.05126501149785678,-0.07417282013359534,-0.06301889754141377,-0.007176751413100394,0.6337201570383053,-0.002774724177884047,-3.6389005676410875,16334.241877950262
Morgan Wallen,-0.09555517138537017,0.10366501149785678,-0.07435282013359534,0.0824351024585862,-0.007069348413100394,0.9632201570383048,0.03372527582211593,32.2065994323589,-16500.45812204972
Doja Cat,0.08854482861462998,0.02416501149785677,0.01344717986640466,-0.032528897541413776,-0.0027996614131003943,0.6264201570383054,0.08282527582211585,-4.242300567641124,-14881.658122049732
