Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id
7,danceability: 0.8097, energy: 0.6697000000000001, key: 4.6, loudness: -5.6906, mode: 0.7, speechiness: 0.30026, acousticness: 0.09800800000000001, instrumentalness: 5.84e-07, liveness: 0.15053999999999998, valence: 0.6006, tempo: 131.7386, duration_ms: 143969.4, time_signature: 4.0
9,danceability: 0.4901, energy: 0.2633, key: 4.8, loudness: -12.908599999999998, mode: 0.6, speechiness: 0.08627, acousticness: 0.8140000000000001, instrumentalness: 0.16589796999999998, liveness: 0.11592, valence: 0.23220000000000002, tempo: 115.87259999999999, duration_ms: 215307.5, time_signature: 3.8
1,danceability: 0.6637, energy: 0.6382000000000001, key: 5.0, loudness: -5.2045, mode: 0.7, speechiness: 0.06505, acousticness: 0.204436, instrumentalness: 0.00025118799999999995, liveness: 0.14261, valence: 0.4791, tempo: 117.15950000000002, duration_ms: 186688.7, time_signature: 4.0
SZA,danceability: 0.5969, energy: 0.5718, key: 5.2, loudness: -7.560100000000001, mode: 0.5, speechiness: 0.06841, acousticness: 0.33233, instrumentalness: 0.05654680999999999, liveness: 0.21059, valence: 0.4290999999999999, tempo: 112.299, duration_ms: 189048.1, time_signature: 3.9
3,danceability: 0.7140000000000001, energy: 0.5043, key: 5.5, loudness: -8.071, mode: 0.6, speechiness: 0.15914, acousticness: 0.0671267, instrumentalness: 0.010400786, liveness: 0.19114, valence: 0.29600000000000004, tempo: 135.3875, duration_ms: 236414.4, time_signature: 3.9
Lil Baby,danceability: 0.8412, energy: 0.5211, key: 5.5, loudness: -7.312900000000001, mode: 0.0, speechiness: 0.29511, acousticness: 0.109874, instrumentalness: 6.57e-07, liveness: 0.1559, valence: 0.36740000000000006, tempo: 121.01880000000001, duration_ms: 165162.4, time_signature: 3.9
Taylor Swift,danceability: 0.6315999999999999, energy: 0.607, key: 5.7, loudness: -6.9696, mode: 0.8, speechiness: 0.060780000000000015, acousticness: 0.208983, instrumentalness: 0.000305284, liveness: 0.17167, valence: 0.36785, tempo: 117.0835, duration_ms: 229875.9, time_signature: 3.9
Luke Combs,danceability: 0.5541, energy: 0.6833, key: 5.8, loudness: -5.525899999999999, mode: 1.0, speechiness: 0.03246, acousticness: 0.1834, instrumentalness: 1.2499999999999999e-06, liveness: 0.17207999999999996, valence: 0.5094000000000001, tempo: 118.70290000000003, duration_ms: 215573.3, time_signature: 4.0
Morgan Wallen,danceability: 0.6025, energy: 0.7357, key: 6.9, loudness: -5.1964, mode: 0.7, speechiness: 0.032279999999999996, acousticness: 0.328854, instrumentalness: 0.000108653, liveness: 0.21399999999999997, valence: 0.5459, tempo: 154.54840000000002, duration_ms: 182738.6, time_signature: 3.9
Doja Cat,danceability: 0.7866000000000002, energy: 0.6562, key: 7.0, loudness: -5.533199999999999, mode: 0.6, speechiness: 0.12008, acousticness: 0.21389, instrumentalness: 0.00437834, liveness: 0.16585, valence: 0.595, tempo: 118.09949999999999, duration_ms: 184357.4, time_signature: 4.0
